website,name_of_meal,nutrition_values,preptime,attributes,allergens,ingredients,description
hellofresh,Crispy Chicken Parmigiana,"Calories 730kcal, Fat 41g, Saturated Fat 10g, Carbohydrate 30g, Sugar 14g, Dietary Fiber 5g, Protein 52g, Cholesterol 150mg, Sodium 1390mg, Trans Fat 0.4g, Potassium 1600mg, Calcium 350mg, Iron 5mg",,"Quick, Bestseller, Low CO2",,"Chicken Breasts 2 unit(s), Mayonnaise (Contains Egg MustardMay contain Crustaceans Fish Gluten Milk Mustard Sesame Soy Sulphites Wheat) 2 tbsp, Panko Breadcrumbs (Contains WheatMay contain Gluten Wheat) ⅓ cup, Sweet Bell Pepper 1 unit(s), Marinara Sauce (May contain Crustaceans Fish Gluten Milk Mustard Sesame Soy Sulphites Wheat Egg Tree nuts) 1 cup, Parmesan Cheese shredded (Contains Milk) ½ cup, Baby Spinach 56 g, Red Wine Vinegar (Contains Sulphites) 1 tbsp, Italian Seasoning (May contain Milk Mustard Sesame Soy Sulphites Wheat Tree nuts Triticale Peanuts) 1 tbsp, Dijon Mustard (Contains MustardMay contain Crustaceans Fish Gluten Milk Sesame Soy Sulphites Wheat Egg) ½ tbsp, Red Onion ½ unit(s)","The best part of this chicken parmigiana is the layer of crispy cheese on top! Each bite is crispy, salty and cheesy. Served with tender Italian-seasoned bell peppers and perfectly dressed spinach, dinner tonight is simple and refined! Ingredients: Chicken breast • Sweet bell pepper • Marinara sauce (water, tomato paste, sugar, salt, modified corn starch, dried garlic, vinegar, dried onion, soybean oil, dried red bell pepper, spices, herbs, natural flavour, xanthan gum, citric acid, lactic acid, potassium sorbate, sodium benzoate) • Parmesan cheese (pasteurized milk, modified milk ingredients, water, modified corn starch and/or potato starch, cheese (milk, bacterial culture, salt, microbial enzyme, lipase), salt, citric acid, sodium phosphate, lactic acid, flavour, sodium citrate, potassium sorbate, caramel colour, beta-carotene, anticaking blend (potato starch, corn starch, dextrose, calcium sulfate, cellulose, natamycin, enzyme)) (milk) • Red onion • Spinach • Mayonnaise (canola and/or soy oil, liquid whole egg, frozen egg yolk, water, salt, sugar, vinegar, concentrated lemon juice, spice extract, mustard, lactic acid, calcium disodium EDTA) (mustard, egg) • Panko breadcrumbs (bleached wheat flour, yeast, sugar, salt) (wheat) • Red wine vinegar (wine vinegar, potassium sorbate, sulphites) (sulphites) • Dijon mustard (water, mustard seed, mustard flour, vinegar, salt, white wine, spices, xanthan gum, citric acid, tartaric acid) (mustard) • Italian seasoning (oregano, basil, marjoram, garlic powder, rosemary, parsley flakes, bay leaf, canola oil, silicon dioxide)."
hellofresh,Fajita-Style Beef Bowls,"Calories 900kcal, Fat 47g, Saturated Fat 17g, Carbohydrate 80g, Sugar 9g, Dietary Fiber 6g, Protein 41g, Cholesterol 110mg, Sodium 1650mg, Trans Fat 1g, Potassium 950mg, Calcium 350mg, Iron 6.5mg",,"Quick, Bestseller",,"Ground Beef 250 g, Yellow Onion ½ unit(s), Mexican Seasoning (May contain Sesame Triticale Peanuts Tree nuts Wheat Mustard Sulphites Milk Soy) 2 tbsp, Basmati Rice ¾ cup, Green Onion 2 unit(s), Sweet Bell Pepper 1 unit(s), Tomato 1 unit(s), Monterey Jack Cheese shredded (Contains Milk) ½ cup, Garlic Salt (May contain Sesame Triticale Peanuts Tree nuts Wheat Mustard Sulphites Milk Soy) 1 tsp, Sour Cream (Contains Milk) 1 unit(s), Lime 1 unit(s)","Easy, quick and packed with flavour, this dish delivers the fiesta without any fuss! Bell peppers and green onions pair beautifully with tender beef to create a fajita bowl that comes together with smoky Mexican-style seasoning. Ingredients: Ground beef • Sweet bell pepper • Basmati rice • Roma tomatoes • Limes • Yellow onion • Monterey Jack cheese (pasteurized milk, modified milk ingredients, cream, salt, microbial enzymes, bacterial culture, calcium chloride, cellulose, natamycin) (milk) • Sour cream (milk ingredients, modified milk ingredients, modified cornstarch, sodium phosphate, sodium citrate, carrageenan, locust bean gum, guar gum, microbial enzyme, bacterial culture) (milk) • Green onion • Mexican seasoning (spices, paprika powder, sugar (sugar, maltodextrin), salt, tomato powder, garlic powder, herbs, canola oil, silicon dioxide) • Garlic salt (salt, garlic powder, silicon dioxide)."
hellofresh,Cheese Tortellini and Sun-Dried Tomato Pesto Sauce,"Calories 790kcal, Fat 33g, Saturated Fat 14g, Carbohydrate 97g, Sugar 10g, Dietary Fiber 6g, Protein 28g, Cholesterol 100mg, Sodium 1330mg, Trans Fat 1g, Potassium 950mg, Calcium 300mg, Iron 5mg",,"Quick, Bestseller, Low CO2, Veggie",,"Cheese Tortellini (Contains Egg Milk Wheat) 350 g, Sun-Dried Tomato Pesto (Contains MilkMay contain Tree nuts Soy Sulphites) ¼ cup, Shallot 1 unit(s), Baby Spinach 56 g, Parmesan Cheese shredded (Contains Milk) ¼ cup, Baby Tomatoes 113 g, Cream Cheese (Contains Milk) 1 unit(s), Garlic cloves 2 unit(s)","Featuring creamy sun-dried tomato pesto sauce, baby tomatoes and Parmesan, this dish combines fresh, summer flavours with the wintery comforts of hearty pasta for the best of all seasons. Ingredients: Cheese tortellini (pasta: durum wheat semolina, water, liquid egg yolk, liquid whole eggs, filling: cheeses (ricotta, parmesan, romano), toasted wheat crumbs, whey, vegetable oil, flavour (milk), water, salt, yeast extract, garlic powder) (egg, milk, wheat) • Baby tomatoes • Sundried tomato pesto (sundried tomato, water, soy oil, canola and extra virgin olive oil, tomatoes, garlic, parmesan cheese (milk, bacterial culture, salt, lipase, calcium chloride, microbial enzyme, powdered cellulose), basil leaves, salt, sugar, herbs, spices, vinegar, citric acid, xanthan gum, potassium sorbate) (milk) • Spinach • Shallot • Cream cheese (milk ingredients, modified milk ingredients, salt, bacterial culture, lactic acid, guar gum, carob bean gum, xanthan gum, potassium sorbate) (milk) • Parmesan cheese (pasteurized milk, modified milk ingredients, water, modified corn starch and/or potato starch, cheese (milk, bacterial culture, salt, microbial enzyme, lipase), salt, citric acid, sodium phosphate, lactic acid, flavour, sodium citrate, potassium sorbate, caramel colour, beta-carotene, anticaking blend (potato starch, corn starch, dextrose, calcium sulfate, cellulose, natamycin, enzyme)) (milk) • Garlic."
hellofresh,Parmesan Pork Chops,"Calories 820kcal, Fat 45g, Saturated Fat 15g, Carbohydrate 55g, Sugar 15g, Dietary Fiber 9g, Protein 50g, Cholesterol 160mg, Sodium 1020mg, Trans Fat 1g, Potassium 1600mg, Calcium 250mg, Iron 4mg",,Bestseller,,"Pork Chops boneless 340 g, Italian Breadcrumbs (Contains Oats Rye Sesame Soy Wheat Barley MilkMay contain Fish Egg Sulphites Peanuts Triticale Crustaceans Mustard Tree nuts Soy) 4 tbsp, Sweet Bell Pepper 1 unit(s), Green Beans 170 g, Sweet Potato 2 unit(s), Mayonnaise (Contains Egg MustardMay contain Fish Sulphites Crustaceans Mustard Soy Gluten Milk Sesame Wheat) 2 tbsp, Parmesan Cheese shredded (Contains Milk) ¼ cup","Savoury Parmesan-crusted pork with creamy mashed sweet potato and roasted red peppers is sure to win over even the pickiest eaters in your household! Ingredients: Pork chop • Sweet potato • Green beans • Sweet bell pepper • Mayonnaise (canola and/or soy oil, liquid whole egg, frozen egg yolk, water, salt, sugar, vinegar, concentrated lemon juice, spice extract, mustard, lactic acid, calcium disodium EDTA) (mustard, egg) • Parmesan cheese (pasteurized milk, modified milk ingredients, water, modified corn starch and/or potato starch, cheese (milk, bacterial culture, salt, microbial enzyme, lipase), salt, citric acid, sodium phosphate, lactic acid, flavour, sodium citrate, potassium sorbate, caramel colour, beta-carotene, anticaking blend (potato starch, corn starch, dextrose, calcium sulfate, cellulose, natamycin, enzyme)) (milk) • Italian breadcrumbs (toasted bread crumbs [enriched flour, (wheat flour, malted barley, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), high fructose corn syrup, corn syrup, partially hydrogenated vegetable oil, water, yeast, salt, sugars (brown sugar, honey, molasses, sugar, dextrose), wheat gluten, whey, soy flour, rye flour, corn flour, oat bran, corn meal, cornstarch, rice flour, potato flour, butter, dough conditioners (mono and diglycerides, sodium and/or calcium stearoyl lactylate, soy lethicin, calcium carbonate, ascorbic acid), yeast nutrients (ammonium sulfate, calcium sulfate, monocalcium phosphate), distilled vinegar, skim milk, buttermilk, citric acid, grain vinegar, datem, potassium iodate, guar gum, calcium phosphate, lactic acid, calcium propionate, potassium sorbate, sesame seeds], salt, imported pecorino romano cheese (sheep’s milk, salt, rennet), spices, natural & artificial flavor, garlic, onion and parsley) (barley, milk, oats, rye, sesame, soy, wheat)."
hellofresh,Brown Sugar-Glazed Salmon,"Calories 660kcal, Fat 20g, Saturated Fat 4.5g, Carbohydrate 85g, Sugar 19g, Dietary Fiber 3g, Protein 34g, Cholesterol 80mg, Sodium 1380mg, Trans Fat 0g, Potassium 800mg, Calcium 125mg, Iron 4.5mg",,"Bestseller, Low CO2",,"Salmon Fillets skin-on (Contains Salmon) 250 g, Basmati Rice ¾ cup, Sugar Snap Peas 113 g, Green Onion 2 unit(s), Brown Sugar (May contain Mustard Soy Egg Fish Wheat Tree nuts Peanuts Sulphites Crustaceans Sesame Milk) 1 tbsp, Hoisin Sauce (Contains Mustard Sesame SoyMay contain Egg Fish Wheat Sulphites Crustaceans Milk Gluten) 4 tbsp, Garlic Salt (May contain Mustard Soy Wheat Tree nuts Peanuts Sulphites Sesame Milk Triticale) 1 tsp, Vegetable Broth Concentrate (May contain Mustard Soy Egg Fish Wheat Tree nuts Sulphites Crustaceans Sesame Milk Gluten) 1 unit(s), Soy Sauce (Contains Soy SulphitesMay contain Mustard Egg Fish Wheat Sesame Milk) ½ tbsp","The combo of roasted salmon and fluffy rice is always a hit, and we know your family will really love the sweet and savoury flavours in this dish. Dinner tonight features salmon glazed in sauce made from brown sugar, soy sauce and hoisin sauce, and the rice is boosted with garlic. Ingredients: Salmon fillets • Basmati rice • Sugar snap peas • Hoisin sauce (sugars (sugar, glucose, fancy molasses), water, tomato paste, soy sauce (soybean, maltodextrin, salt) vinegar, modified corn starch, rice vinegar, tahini (sesame), salt, soybean oil, sesame oil, mustard, garlic powder, onion powder, spices, natural flavour, xanthan gum, citric acid, caramel, potassium sorbate, sodium benzoate) (soy, sesame, mustard) • Green onion • Brown sugar (cane sugar, molasses) • Vegetable broth concentrate (sugars (vegetable juice concentrates [tomato, mushroom, onion, carrot, celery], sugar, maltodextrin), salt, yeast extract, natural flavor) • Soy sauce (water, wheat, soybeans, salt, hydrolyzed soya protein, sugars (sugar, glucose solids, molasses, corn syrup solids), seasoning agents, caramel colour, licorice extract, modified cornstarch, citric acid, sodium benzoate, sodium propionate, potassium sorbate, alcohol) (soy, sulphites, wheat) • Garlic salt (salt, garlic powder, silicon dioxide)."
hellofresh,Striploin Steak and Tarragon Cream Sauce,"Calories 820kcal, Fat 42g, Saturated Fat 16g, Carbohydrate 62g, Sugar 14g, Dietary Fiber 11g, Protein 52g, Cholesterol 135mg, Sodium 760mg, Trans Fat 1g, Potassium 1900mg, Calcium 175mg, Iron 8mg",,,,"Striploin Steak 370 g, Brussels Sprouts 227 g, Sweet Potato 2 unit(s), Mushrooms 113 g, Shallot 1 unit(s), Tarragon 7 g, Cream (Contains Milk) 56 mL, Beef Broth Concentrate 2 unit(s), Garlic Spread (May contain Milk Soy Sulphites) 2 tbsp, All-Purpose Flour (Contains WheatMay contain Milk Soy Sulphites Crustaceans Egg Fish Gluten Mustard Tree nuts Peanuts Sesame) 1 tbsp, Whole Grain Mustard (Contains MustardMay contain Milk Soy Sulphites Crustaceans Egg Fish Gluten Sesame Wheat) 1 tbsp","Steak and mushrooms are a match made in heaven. For this dish, tender steak is topped with a savoury mushroom and tarragon cream sauce that will make any day feel like a special occasion. Ingredients: Striploin steak • Sweet potato • Brussels sprouts • Mushrooms • 35% Cream (cream, milk, dextrose, cellulose gel, carrageenan, mono and diglycerides, cellulose gum, polysorbate 80, sodium citrate, disodium phosphate) (milk) • Shallot • Garlic spread (margarine (soybean oil, water, modified palm and palm kernel oils, salt, vegetable monoglycerides, soy lecithin, potassium sorbate, natural flavour, citric acid, annatto and turmeric, vitamin A palmitate, vitamin D2), garlic, onion powder, water, salt, vegetable mono and diglycerides, maltodextrin, citric acid, parsley, natural flavour, xanthan gum, potassium sorbate, natural colour, vitamin E) (soy) • Beef broth concentrate (beef stock, sugars (maltodextrin, sugar), beef flavor (flavoring, water, salt, dried beef stock, beef stock, yeast extract, xanthan gum, glutamic acid, tricalcium phosphate), beef fat, salt, yeast extract, xanthan gum) • Whole grain mustard (water, white vinegar, mustard seeds, white wine vinegar, salt, sugar, mustard bran, citric acid, turmeric, spices, spice extract, natural flavour, xanthan gum) (mustard) • All-purpose flour (wheat) • Tarragon."
hellofresh,Ready-to-Heat: Turkey Bolognese & Roasted Portobellos,"Calories 630kcal, Fat 49g, Saturated Fat 14g, Carbohydrate 15g, Sugar 7g, Dietary Fiber 3g, Protein 25g, Cholesterol 115mg, Sodium 810mg, Trans Fat 0.5g, Potassium 1050mg, Calcium 300mg, Iron 2.3mg",,Quick,,Turkey Bolognese & Roasted Portobellos (Contains Milk Sulphites) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. Turkey bolognese is delicious any day of the week. We cook ground turkey with tomatoes, onions, Parmesan cheese, and cream, add a splash of white wine for richness and complexity, and top it with shredded mozzarella for a gooey, cheesy finale—a meal in itself! It’s served with portobello mushrooms and a side of roasted zucchini. Ingredients: Zucchini • Portobello mushroom • Ground turkey • Chardonnay wine (sulphites) • Olive oil • Heavy cream (milk) • Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid) • Mozzarella cheese (milk, modified milk ingredients, salt, bacterial culture, calcium chloride, microbial enzyme, cellulose, natamycin) • Spanish onion • Tomato paste (vine-ripened fresh tomatoes, naturally derived citric acid) • Green onions • Celery • Minced garlic (water, dehydrated garlic, citric acid) • Parmesan cheese (pasteurized milk, modified milk ingredients, salt, bacterial culture, calcium chloride, microbial enzyme, lipase, cellulose, natamycin) • Basil • Sea salt • Italian seasoning (marjoram, thyme, rosemary, savory, sage, oregano, basil) • Thyme • Black pepper."
hellofresh,Ready-to-Heat: Herb-Grilled Chicken,"Calories 520kcal, Fat 18g, Saturated Fat 4g, Carbohydrate 48g, Sugar 4g, Dietary Fiber 4g, Protein 44g, Cholesterol 120mg, Sodium 840mg, Trans Fat 0g, Potassium 900mg, Calcium 150mg, Iron 5mg",,Quick,,Herb-Grilled Chicken (Contains Milk Sulphites) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. Ah, risotto! Is there anything more deliciously comforting? Why not add juicy chicken grilled with rosemary and thyme and sweet butternut squash cooked with olive oil, roasted garlic and parsley? You want some luxurious goat cheese, too? Sit down and enjoy, we’ve got you covered! Ingredients: Butternut squash • Chicken breast • Water • Arborio rice • Green peas • Olive oil • Chardonnay wine (sulphites) • Roasted garlic (garlic, olive oil) • Parmesan cheese (milk, modified milk ingredients, bacterial culture, salt, lipase, calcium chloride, rennet and/or microbial enzyme, powdered cellulose, parmesan flavour (natural)) • Goats cheese (goat's milk, sea salt, bacterial culture, microbial enzyme) • Butter (milk) • Chicken glace (chicken broth, carrot, onion, garlic, spices) • Parsley • Minced garlic (water, dehydrated garlic, citric acid) • Sea salt • Red wine vinegar (sulphites) • Rosemary • Nutritional yeast • Black pepper • Basil • Thyme • Garlic • Sage."
hellofresh,Ready-to-Heat: Pulled Chicken Taco Bowl,"Calories 570kcal, Fat 24g, Saturated Fat 11g, Carbohydrate 54g, Sugar 4g, Dietary Fiber 8g, Protein 41g, Cholesterol 185mg, Sodium 700mg, Trans Fat 0.3g, Potassium 500mg, Calcium 250mg, Iron 4mg",,Quick,,Pulled Chicken Taco Bowl (Contains Milk) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. Packed with savoury Mexican-style flavours, each element of this dish comes together to form one exciting bowl. Juicy pulled chicken, seasoned with our house-made taco seasoning, is served over black beans and brown rice. It’s all accented with a roasted corn salsa made with spicy poblanos, red bell peppers, paprika, cumin, and chili powder. The meal is finished with a creamy cilantro sour cream, perfect for drizzling over the top. Ingredients: Chicken thigh • Corn • Water • Brown basmati rice • Sour cream (milk ingredients, bacterial culture, microbial enzyme) • Black beans (black beans, water, salt, calcium chloride) • Cheddar cheese (milk, modified milk ingredients, cream, salt, bacterial culture, annatto, calcium chloride, microbial enzyme, cellulose) • Poblano pepper • Red bell pepper • Red onion • Cilantro • Green onions • Chicken glace (chicken broth, carrot, onion, garlic, spices) • Chili powder (chili pepper, cumin, coriander, salt, oregano, garlic powder, cloves, silicon dioxide) • Jalapeno • Lime juice • Cumin • Olive oil • Sea salt • Paprika • Black pepper • Garlic • Garlic powder • Onion powder • Crushed red pepper flakes • Oregano."
hellofresh,Ready-to-Heat: Pork & Beef Shepherd's Pie,"Calories 470kcal, Fat 26g, Saturated Fat 11g, Carbohydrate 29g, Sugar 7g, Dietary Fiber 7g, Protein 30g, Cholesterol 95mg, Sodium 770mg, Trans Fat 0.5g, Potassium 1000mg, Calcium 200mg, Iron 4mg",,Quick,,Pork & Beef Shepherd's Pie (Contains Milk Sulphites) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. A champion in the comfort food hall of fame, shepherd’s pie makes even the coldest days seem warmer! Ours has a blend of beef and pork for the juiciest texture and richest flavour, plus classic carrots and peas seasoned with thyme, rosemary and a touch of red wine. Creamy Yukon Gold mash tops it off. Of course, it just wouldn’t feel right without green beans, tossed with roasted garlic oil, alongside. Ingredients: Green beans • Yukon potatoes • Ground beef • Ground pork • Cauliflower • Water • White cheddar cheese (milk, modified milk ingredients, cream, salt, bacterial culture, calcium chloride, microbial enzyme, cellulose) • Spanish onion • Carrot • Celery • Green peas • Tomato paste (vine-ripened fresh tomatoes, naturally derived citric acid) • Milk • Brown stock (veal broth, carrot, onion, tomato paste, celery, leek, garlic, spices) • Olive oil • Butter (milk) • Plain greek yogurt (skim milk, active bacterial cultures) • Cabernet wine (sulphites) • Minced garlic (water, dehydrated garlic, citric acid) • Sea salt • Tapioca starch • Parsley • Black pepper • Paprika • Thyme • Rosemary • White pepper • Garlic powder • Onion powder • Garlic."
hellofresh,Ready-to-Heat: Cranberry-Apple Pork Chop,"Calories 590kcal, Fat 31g, Saturated Fat 12g, Carbohydrate 35g, Sugar 10g, Dietary Fiber 7g, Protein 45g, Cholesterol 140mg, Sodium 760mg, Trans Fat 0.3g, Potassium 1050mg, Calcium 100mg, Iron 3.5mg",,Quick,,Cranberry-Apple Pork Chop (Contains Milk) 2 unit(s),"Meal is pre-cooked and ships ready-to-heat in your oven or microwave. This savoury-sweet meal features a juicy grilled pork chop that's been brined and seasoned with rosemary and sage. It's topped with a dollop of Parmesan-herb butter and plated over roasted brussel sprouts. For the sides, there’s long grain and wild rice tossed in an herb cream sauce, plus a tart-sweet cranberry apple sauce to complete the meal. Ingredients: Pork chop • Brussels sprouts • Water • Wild rice blend (white rice, wild rice) • Whole cranberries • Gala apples • Butter (milk) • Olive oil • Spanish onion • Heavy cream (milk) • Light cream cheese (milk ingredients, modified milk ingredients, bacterial culture, salt, guar gum, locust bean gum, lactic acid) • Sugar (honey, orange juice) • Parmesan cheese (milk, modified milk ingredients, bacterial culture, salt, lipase, calcium chloride, rennet and/or microbial enzyme, powdered cellulose, parmesan flavour (natural)) • Sea salt • Chicken glace (chicken broth, carrot, onion, garlic, spices) • Roasted garlic (garlic, olive oil) • Sage • Black pepper • Dried chives • Rosemary • Parsley • Onion powder • Garlic powder • Cinnamon • Thyme • Nutmeg • Cloves."
hellofresh,Speedy Beef Taco Mac 'n' Cheese,"Calories 870kcal, Fat 39g, Saturated Fat 18g, Carbohydrate 83g, Sugar 12g, Dietary Fiber 8g, Protein 46g, Cholesterol 120mg, Sodium 1460mg, Trans Fat 1g, Potassium 1200mg, Calcium 350mg, Iron 6mg",,"Quick, New",,"Cavatappi (Contains Wheat) 170 g, Ground Beef 250 g, Tex-Mex Paste (Contains MustardMay contain Gluten Fish Sesame Egg Crustaceans Milk Wheat Sulphites Soy) 1 tbsp, Enchilada Spice Blend (Contains SulphitesMay contain Sesame Milk Wheat Soy Mustard Peanuts Tree nuts) 1 tbsp, Sweet Bell Pepper 1 unit(s), Tomato Sauce Base (May contain Gluten Fish Sesame Egg Crustaceans Milk Wheat Sulphites Soy Mustard Tree nuts) 4 tbsp, Tomato 1 unit(s), Cheddar Cheese shredded (Contains Milk) ½ cup, Green Onion 2 unit(s), Sour Cream (Contains Milk) 2 unit(s), Garlic cloves 2 unit(s), Hot Sauce (May contain Gluten Fish Sesame Egg Crustaceans Milk Wheat Sulphites Soy Mustard Tree nuts) 1 tbsp","Get ready for the ultimate comfort food mashup! This beef taco and mac-n-cheese fusion combines all your favourites—seasoned beef, creamy cavatappi pasta, and gooey cheese, topped with fresh tomato, green onions and a dollop of sour cream. Ingredients: Ground beef • Cavatappi (durum wheat semolina, niacin, ferrous sulphate, thiamine mononitrate, riboflavin, folic acid) (wheat) • Sweet bell pepper • Roma tomatoes • Sour cream (milk ingredients, modified milk ingredients, modified cornstarch, sodium phosphate, sodium citrate, carrageenan, locust bean gum, guar gum, microbial enzyme, bacterial culture) (milk) • Tomato sauce (water, tomato paste, modified corn starch, soybean oil, phosphoric acid, xanthan gum, potassium sorbate, sodium benzoate) • Cheddar cheese (pasteurized milk, modified milk ingredients, cream, bacterial culture, salt, annatto, beta-carotene, calcium chloride, microbial enzyme, cellulose, natamycin) (milk) • Green onion • Tex mex paste (tomato paste, tomato blend (tomatoes, tomato juice, citric acid, calcium chloride), salt, water, vegetable oil, sugars (sugar, maltodextrin), chipotle peppers, onions, chili peppers, vinegar, smoked paprika, paprika oleoresin, modified corn starch, garlic powder, mustard, cocoa powder, rice vinegar, onion powder, seasoning, spices, herbs, natural flavour, xanthan gum, acetic acid) (mustard) • Hot sauce (aged cayenne peppers, white vinegar, water, salt, spice, garlic powder, xanthan gum, acetic acid) • Enchilada spice blend (spices, sugar (sugar, maltodextrin), salt, garlic powder, tomato powder, paprika powder, citric acid, canola oil, oleoresin paprika, silicon dioxide) (sulphites) • Garlic."
hellofresh,Loaded Couscous and Spiced Chickpea Bowls,"Calories 920kcal, Fat 38g, Saturated Fat 8g, Carbohydrate 123g, Sugar 13g, Dietary Fiber 19g, Protein 28g, Cholesterol 35mg, Sodium 1530mg, Trans Fat 0.2g, Potassium 1550mg, Calcium 250mg, Iron 5.5mg",,"Veggie, New, Low CO2",,"Chickpeas (May contain Gluten Wheat) 1 unit(s), Pearl Couscous (Contains Wheat) ¾ cup, Sweet Potato 2 unit(s), Zucchini 1 unit(s), Lemon 1 unit(s), Parsley 7 g, Feta Cheese crumbled (Contains Milk) ½ cup, Mayonnaise (Contains Egg MustardMay contain Gluten Wheat Crustaceans Fish Milk Mustard Sesame Soy Sulphites) 2 tbsp, Tahini Sauce (Contains Sesame SoyMay contain Gluten Wheat Crustaceans Fish Milk Mustard Sulphites Egg) 2 tbsp, Zesty Garlic Blend (Contains SulphitesMay contain Wheat Milk Mustard Sesame Soy Peanuts Tree nuts) 1 tbsp, Dill-Garlic Spice Blend (Contains SulphitesMay contain Wheat Milk Mustard Sesame Soy Peanuts Tree nuts) 1 tsp, Garlic Spread (May contain Milk Soy Sulphites) 2 tbsp","Beautiful and bountiful bowls are the name of the game for tonight's dinner! Crispy double garlic-roasted chickpeas bring big crouton energy to top garlicky pearl couscous, roasted veggies and a creamy lemon-tahini drizzle. Ingredients: Sweet potato • Chickpeas (chickpeas, water, salt, ascorbic acid, disodium EDTA) • Zucchini • Pearl couscous (durum wheat semolina) (wheat) • Lemon • Feta cheese (pasteurized milk, partly skimmed milk, water, salt, lipase, bacterial culture, microbial enzyme, cellulose, natamycin, calcium chloride) (milk) • Mayonnaise (canola and/or soy oil, liquid whole egg, frozen egg yolk, water, salt, sugar, vinegar, concentrated lemon juice, spice extract, mustard, lactic acid, calcium disodium EDTA) (mustard, egg) • Tahini sauce (water, tahini (sesame), modified corn starch, sugar, vinegar, salt, concentrated lemon juice, vegetable oil, garlic, canola oil, spices, natural flavour, soy lecithin, xanthan gum, citric acid, lactic acid, potassium sorbate, sodium benzoate, calcium disodium EDTA) (soy, sesame) • Garlic spread (margarine (soybean oil, water, modified palm and palm kernel oils, salt, vegetable monoglycerides, soy lecithin, potassium sorbate, natural flavour, citric acid, annatto and turmeric, vitamin A palmitate, vitamin D2), garlic, onion powder, water, salt, vegetable mono and diglycerides, maltodextrin, citric acid, parsley, natural flavour, xanthan gum, potassium sorbate, natural colour, vitamin E) (soy) • Parsley • Zesty garlic blend (granulated garlic, cornmeal, salt, dehydrated red bell pepper flakes, spices, sugar, herbs, canola oil, silicon dioxide, citric acid) (sulphites) • Dill-garlic spice blend (dehydrated onion, dehydrated garlic, salt, dill weed, canola oil, silicon dioxide) (sulphites)."
hellofresh,Quick Persian-Inspired Chicken Patties Platter,"Calories 730kcal, Fat 42g, Saturated Fat 7g, Carbohydrate 56g, Sugar 9g, Dietary Fiber 11g, Protein 34g, Cholesterol 120mg, Sodium 970mg, Trans Fat 0.2g, Potassium 2100mg, Calcium 150mg, Iron 6.5mg",,"Quick, Family Friendly, New, Low CO2",,"Ground Chicken 250 g, Shawarma Spice Blend (Contains SulphitesMay contain Soy Tree nuts Wheat Milk Mustard Peanuts Sesame) 3 tbsp, Yellow Potato 300 g, Sweet Bell Pepper 1 unit(s), Garlic Salt (May contain Soy Tree nuts Wheat Milk Mustard Peanuts Sesame Sulphites Triticale) ½ tsp, Broccoli 227 g, Tahini Sauce (Contains Sesame SoyMay contain Wheat Milk Mustard Sulphites Crustaceans Egg Fish Gluten) 2 tbsp, Mayonnaise (Contains Egg MustardMay contain Soy Wheat Milk Mustard Sesame Sulphites Crustaceans Fish Gluten) 2 tbsp, Parsley 7 g, Lemon 1 unit(s), Panko Breadcrumbs (Contains WheatMay contain Wheat Gluten) ⅓ cup","Tender, crispy chicken patties served with roasted broccoli and potatoes are for dinner tonight! Don't miss out on the tahini dipper. Ingredients: Yellow potato • Ground chicken • Broccoli • Sweet bell pepper • Lemon • Tahini sauce (water, tahini (sesame), modified corn starch, sugar, vinegar, salt, concentrated lemon juice, vegetable oil, garlic, canola oil, spices, natural flavour, soy lecithin, xanthan gum, citric acid, lactic acid, potassium sorbate, sodium benzoate, calcium disodium EDTA) (soy, sesame) • Mayonnaise (canola and/or soy oil, liquid whole egg, frozen egg yolk, water, salt, sugar, vinegar, concentrated lemon juice, spice extract, mustard, lactic acid, calcium disodium EDTA) (mustard, egg) • Shawarma spice blend (paprika powder, spices, garlic powder, onion powder, black pepper, salt, herbs, canola oil, citric acid, oleoresin paprika, silicon dioxide) (sulphites) • Panko breadcrumbs (bleached wheat flour, yeast, sugar, salt) (wheat) • Parsley • Garlic salt (salt, garlic powder, silicon dioxide)."
